MSA,1Q2017,2Q2017,3Q2017,4Q2017,1Q2018,2Q2018,3Q2018,4Q2018,1Q2019,2Q2019,3Q2019,4Q2019,1Q2020,2Q2020,3Q2020,4Q2020,1Q2021,2Q2021,3Q2021,4Q2021,1Q2022,2Q2022,3Q2022
"Akron, OH",7.9,7.7,3,1,2.3,5.7,4.3,1.3,2,3.6,4,14.2,10.2,8.1,3.3,3.6,(z),1.8,(z),0.7,5.3,3.2,4.3
"Albany-Schenectady-Troy, NY",9.8,12.5,4,8.5,9,11.7,10.3,12,7.9,10.8,15.5,15.6,7.9,6.7,10.1,15.3,10.8,10.1,12,9.5,4,9,8.9
"Albuquerque, NM",9.7,9.6,10.4,6.3,10.7,8.7,6.6,5.5,7.1,6.8,7.8,4.4,4.3,6.9,6.8,4.1,8.5,6.3,5.5,5.5,4.5,7.1,5.2
"Allentown-Bethlehem-Easton, PA-NJ",3,1.2,5.4,10.8,7.4,4.3,3.5,7,7.7,3.2,0,6.1,4.5,5.6,2.9,2.5,7,4,3,2.5,9.3,4.5,6.4
"Atlanta-Sandy Springs-Roswell, GA",4.6,7.1,7.3,8.8,8.3,5.4,6.1,6.9,7.8,7.6,6.4,5.9,6.9,5.1,5.8,7.7,4.9,5.3,6.1,4.2,7.3,7.9,6.5
"Austin-Round Rock, TX",6.6,7.4,3.2,7.4,8.7,6.9,5.7,6.8,12.3,9.1,6.4,4.4,6.4,9.8,7.8,3,11,6.2,7.3,9.7,7,5,5.2
"Baltimore-Columbia-Towson, MD",9.4,6,9.8,6.4,6.8,9.9,10.4,10.2,7.7,8.1,11.5,8.1,4.7,6.1,9.6,8,5.8,5.6,7.9,5.1,6.5,3.1,4.9
"Baton Rouge, LA",4.3,5.7,10.5,13.8,7.5,8.4,7.5,7.1,8.2,9,10.2,12.8,5,5.6,9.3,10.3,9.1,4.7,8.5,10.3,3.6,4,6.6
"Birmingham-Hoover, AL",11.7,21.2,19.2,12.3,11.9,13.5,11.6,10.7,11.5,13.5,6.6,9.8,20.6,27.3,13.4,10.9,7.5,11,21.9,18.6,8,12,18.4
"Boston-Cambridge-Newton, MA-NH",5.5,3.9,4.1,5.6,5.2,3.3,3.8,2.9,1.7,2.9,4.8,5,6.8,3,3.3,5.5,6.9,5.4,2.5,3.4,1.8,2.8,2.5
"Bridgeport-Stamford-Norwalk, CT",10.4,7,7.6,11.6,14.5,9.5,3.4,6.8,3.5,5.5,4.7,2.5,5.1,1.7,3.7,3.8,7.3,8.6,1.5,2.1,4.1,1.5,2.4
"Buffalo-Cheektowaga-Niagara Falls, NY",7.1,3.7,3.4,12.2,10.1,4.9,6.5,6.8,5.2,10.4,2.8,7.5,11.1,(z),2.8,5.4,14,7.1,1.1,3.2,9.5,8.9,6.8
"Cape Coral-Fort Myers, FL",1.8,6.7,0.9,10.1,10.7,6,1.4,5,2.4,10.5,15.2,5.8,9.4,20.4,19.5,12.8,8.8,8,19.4,6.3,1.3,21.2,11.1
"Charleston-North Charleston-Summerville, SC",18.8,18.7,17,17.6,18.8,16.6,18.6,14.2,13.6,14.9,16.5,21,30.6,26.8,23.2,28.8,21,11,9.9,18.1,14,5.7,6.9
"Charlotte-Concord-Gastonia, NC-SC",3.1,5.7,7.9,4.4,4,6.2,5.8,6.8,5.5,7.3,9.5,8.3,5,4.5,6.7,6.3,8.1,3.7,5.8,10.3,7.8,3.6,9.1
"Chicago-Naperville-Elgin, IL-IN-WI",6.7,8,8.5,4.9,9,6.9,5.9,6.4,5.7,5.7,6.2,5.2,5.9,6.9,9.2,7.4,7.4,8.4,8.2,8,6.3,6.6,5.6
"Cincinnati, OH-KY-IN",6.9,8.5,8,7.1,3.4,2.4,4.8,6.7,11.5,10.9,11.1,9.3,5.4,6.5,10.9,10,12,6.4,3.3,5.2,9,3.1,5.3
"Cleveland-Elyria, OH",12.3,9,5.1,5.3,4.9,7.1,7.4,8.4,3.3,1.5,5.3,5.4,7.2,3.2,4.7,6.7,5,4.9,1.2,3.4,2.9,3.4,3.3
"Columbia, SC",6.4,4.4,7.7,6.3,7.9,11.8,8.6,9.9,10.9,8.6,7.3,10.7,7.1,1.9,6.7,1.9,5.8,1.7,8.5,3.5,11.2,3.5,2.8
"Columbus, OH",8.3,5.4,4,7.4,9.8,11.9,5.4,7.3,4.9,2.2,6.7,3.2,4.9,4.9,5.2,8.3,6.5,7,6.9,5.8,4.5,3.9,2.8
"Dallas-Fort Worth-Arlington, TX",6.4,8,7.4,6.6,5.8,7.8,7.8,8.3,6.7,5.6,8.6,6.6,6.2,5.9,8.3,8.4,8.3,7.8,6.2,5.7,6.6,6.9,7
"Dayton, OH",5.7,8.2,13.9,2,11.3,13.2,13.7,8.1,5.7,15.8,7.3,9.7,4,2.8,(z),8.8,5,8.1,3.8,11.9,1.2,7.4,5.9
"Denver-Aurora-Lakewood, CO",4.5,6.7,4.8,7.5,4.8,2.5,3.8,4,3.2,4.4,5.4,5.9,4.8,3,5.7,5.5,6.2,3.6,3.6,5,4.1,4.9,6.8
"Detroit-Warren-Dearborn, MI",8,7.3,8.3,8.6,7.9,7.6,6.1,5.1,4.7,8.1,6.7,5.1,5.9,6.3,5.1,5.4,8.7,6.3,6.8,4,3.9,4.5,5.2
"Fresno, CA",5.5,2.2,3.6,1.9,1.6,0.6,3.4,1.6,9.3,7.5,7,3.9,(z),0.7,1.9,0.7,3.4,1.7,1.4,4.7,5.1,2.3,(z)
"Grand Rapids-Wyoming, MI",3.9,2.7,3.4,5.8,3.9,3.9,4.8,13.1,4.9,4.9,2.8,5.5,4.7,7.3,3,2.8,1.7,2.4,6.5,4,1.5,1.3,3.5
"Greensboro-High Point, NC",15.3,7.5,6.9,11.4,10.9,10.4,10.1,14.9,9.8,7.1,5.1,10.9,17.5,1.2,5.8,2.9,7.6,1.6,0.7,1.6,3.1,6.7,17.5
"Hartford-West Hartford-East Hartford, CT",4.8,5.9,4.7,6.1,5,3.3,6.7,3.1,3.1,4.5,5.9,3.6,9.7,10.4,7,4.5,4.4,6.4,8.2,8.2,7.2,2.9,3
"Houston-The Woodlands-Sugar Land, TX",11.3,8.7,10.3,9.4,8.2,9.8,8.9,8.1,10.6,11.8,12.4,10.8,11.5,9.3,10.9,7.4,9.4,7,8,11.1,9.7,6.9,8.8
"Indianapolis-Carmel-Anderson, IN",9.8,12,10.7,15,9.4,10.2,6.8,13.2,5.7,9.1,7.2,6.3,6.8,6.7,11,17.1,10.9,7.9,6.2,7.6,10.9,11.4,11.9
"Jacksonville, FL",8,3.2,14.8,7.5,6.9,2.2,7.4,5.7,4.7,6.9,4.7,4.5,8,6.5,8.3,7.1,6.2,6.3,7.2,2.8,6.1,5.3,5.7
"Kansas City, MO-KS",14,8.9,6.8,7.4,11.7,5.1,5.2,9.6,13.1,5.8,9.5,11.9,10.5,9.7,9.3,8.2,12.2,9.3,7.7,7.1,6.2,7.9,8.2
"Knoxville, TN",10.7,6.5,8.8,5.7,9.8,12.9,4.4,4.4,3.6,9.7,10.1,5.2,3.7,4.4,6.6,4,4.1,4.1,6.3,8.5,5.8,4.6,7.8
"Las Vegas-Henderson-Paradise, NV",7.8,6.4,6.7,7.1,9.6,5.8,6.2,5.4,6.4,4.8,5.2,5.6,5.8,6.4,5.1,2.9,2.8,3.7,3.1,5.2,6.3,4.6,5.8
"Little Rock-North Little Rock-Conway, AR",8.3,13.5,10,13.1,13.1,12.9,8.6,8.8,13.2,9.8,10.8,12.1,10.4,10.8,9.4,5.6,10.8,8.3,9.9,11,6,9.5,13.3
"Los Angeles-Long Beach-Anaheim, CA",3.6,3.8,5.3,3.7,4.2,4.2,3.7,3.7,3.6,4.5,3.9,4,2.3,3.4,3.8,4.8,5.5,4.8,4.9,3.3,3.5,4.4,5.1
"Louisville/Jefferson County, KY-IN",9.4,7.7,7.7,6.3,4,6.9,8.9,10.4,11.9,13.3,8.6,8.2,11.4,4.3,2.7,5.6,7.6,12.3,6.5,7.3,5.9,3.1,5.8
"Memphis, TN-AR-MS",8.9,7.9,9.6,16,8.7,12.3,8.5,16.5,13,8.7,11.6,9.3,8,9.3,4.9,4.8,5,6.3,7.7,8,4.7,4.5,9.6
"Miami-Fort Lauderdale-West Palm Beach, FL",6.1,6,8.3,7.6,6.9,6.4,8.1,8.1,7.8,6.3,6.9,7.3,6.1,4.9,4.7,5.8,6.3,6.8,4.2,4.7,6.4,7.1,5.6
"Milwaukee-Waukesha-West Allis, WI",7.5,7.8,1.9,8.3,6,7,4.4,6,7.3,5.8,6.2,7.3,3.5,5.3,5.7,3.8,3.4,1.8,2.2,1.5,7.6,4,4.1
"Minneapolis-St Paul-Bloomington, MN-WI",4.5,4.1,3.3,4.7,3.5,4.7,4.4,3.7,5.1,5.9,2,3.1,5.1,4.1,3.1,4,6.7,5.2,2.9,4.3,5.3,6.1,9.1
"Nashville-Davidson--Murfreesboro--Franklin, TN",8.4,9.6,7.4,5.5,9.1,5.7,8.7,6.4,9.7,10.4,6.7,6.9,7.7,7,5.9,8.5,8.4,9.1,9.1,4.2,4.4,8.8,6.6
"New Haven-Milford, CT",9.9,6.8,4.5,7,5.5,7.6,7.2,2.4,1.8,10.8,13.5,8.3,3.2,8.7,12.9,7.4,9,2.5,5.1,4.4,3.5,1.4,0.6
"New Orleans-Metairie, LA",9.8,11.3,11.4,10.7,11.1,12,8.1,6.9,11.3,7.8,9,9.8,7.7,4.7,7.2,4.7,11.4,5,6.5,5.9,4.8,7,6.5
"New York-Newark-Jersey City, NY-NJ-PA",4.8,4.6,4.9,4,4,4.5,5.2,4.3,4,4.6,4.3,4.3,4,3.3,5.1,5.7,6.5,5.9,4.5,3.7,4.1,3.5,3.3
"North Port-Sarasota-Bradenton, FL",6.8,5.3,0,10.5,5.3,6.6,5.9,11.5,5.2,3.9,6.7,7.1,8.7,7,19.4,6.7,5.1,7.6,9.1,6.2,10.8,9.8,2
"Oklahoma City, OK",10.7,11.5,7.8,10,12.2,14,13,8,11.7,11.9,7.3,3.8,7.9,7.8,4.5,5.7,5.7,2.6,6.8,7.3,8.7,7.8,14.3
"Omaha-Council Bluffs, NE-IA",4,4.6,4.7,5.4,4.8,6.2,8,9,6.9,5,7.6,5.7,7.1,6.3,6,6.5,5.7,5.2,4.7,4.4,5.3,5.4,3.2
"Orlando-Kissimmee-Sanford, FL",6.1,7.1,6.7,8.1,6.3,7.3,5.6,4,6.9,9.2,7.1,10.3,11.7,9.2,6.4,7.3,8.1,10.3,5.5,6.3,6.5,7.5,5.7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",7.9,6.5,6.9,7.7,5.8,4.9,7.8,7.1,8.4,6.4,8,5.4,6.4,3.8,5.5,5.9,6.3,5.9,2.6,4.7,4.2,2.8,4.6
"Phoenix-Mesa-Scottsdale, AZ",4.7,8.2,6.7,4.2,4.6,6.9,7.9,5.6,4,5.6,5.3,5.1,2.9,6.6,6.6,3.9,6.3,4.1,4.1,5.3,6,6,6.6
"Pittsburgh, PA",6.8,13.1,10.9,8.5,7.8,7.1,5.2,5.3,5.3,7.2,5.8,11.2,8.4,9.7,11.8,6.9,5.5,9.9,10.1,12.1,10.6,7,9.8
"Portland-Vancouver-Hillsboro, OR-WA",3.9,6.7,6.2,2.6,3.6,4.8,4.5,2.4,5.6,4.1,4.7,3.2,5.2,3.5,3.7,4.6,5,6.4,5,4.7,6.1,3.3,1.8
"Providence-Warwick, RI-MA",4.6,4.7,3.4,4.2,7.1,3.7,5.5,3.9,3.5,4.6,4.7,4.3,3.2,3.2,3.3,4.4,4,2.2,2,3,4.4,4.1,5.5
"Raleigh, NC",4.4,4.3,8.6,5.9,6.7,7.5,7.6,3.9,6.5,8,8.9,4.6,2.2,1.9,2.6,2.5,2,2.9,3.6,3.2,10.1,8,4.7
"Richmond, VA",7,10.7,5.6,6,6.6,5.5,4.4,5.1,7.6,13.6,10.7,7.1,5.1,2.7,0.5,2.7,2,1.6,2.5,1.1,3.1,1.9,1.7
"Riverside-San Bernardino-Ontario, CA",6.7,6.6,5.2,3.8,4,6.1,4.7,5.4,5.5,3.7,5.5,3.3,3.9,3.6,4.9,5.4,2.6,5.9,2.2,1.8,2.4,5.3,3.4
"Rochester, NY",5.1,4.2,9.3,7.6,7.5,5.3,5.9,3.6,6.9,4,9.1,3,5.2,0.6,1.2,1.7,5.7,2.2,2.3,2.8,7.7,1.5,6.5
"Sacramento--Roseville--Arden-Arcade, CA",1.2,5.9,5.8,4.5,5.6,5.4,3.3,5.7,3.7,5.9,5.1,2.7,6.5,2.3,3.6,3.9,3.2,2.9,3.1,5.4,3,0.9,3.1
"St Louis, MO-IL",4.9,8.1,9.8,9.2,9.6,5.6,6.9,6.6,8.1,7.6,10.6,9.1,5.5,4.4,5.6,5.8,6.4,7.6,6.8,5.4,2.6,6.6,9.3
"Salt Lake City, UT",3.8,6,9.3,5.2,6.6,7.5,5.1,5,6.5,4.4,5.3,3.6,9.4,4,6.1,5.5,6,6.1,2.3,2.5,6.2,4.6,4.6
"San Antonio-New Braunfels, TX",13.4,10,10.1,12.5,7.6,8.6,5.5,7.8,9.3,13.1,9,8.9,7.5,8.3,6.7,6.3,10.8,9.2,7.2,6.1,6.9,10.1,8.4
"San Diego-Carlsbad, CA",3.6,3.6,5.8,2.7,4.8,4.8,3.9,4.4,5.5,7,7,3.8,3.2,2.4,6.6,3.4,3.7,2.7,2.5,3.3,3.7,4.4,3.1
"San Francisco-Oakland-Hayward, CA",4.3,4.4,3.3,4.8,4.3,5.5,6.7,4.9,3.9,4.7,3.3,3.3,2.9,3,6.7,8.5,7.9,8.7,4.3,5.2,5.6,5.4,5.2
"San Jose-Sunnyvale-Santa Clara, CA",5.4,3.5,2.4,1.4,6.3,3.6,3.8,4.6,2.5,2,3.7,6.3,3.9,1.5,3.4,8.5,6.5,6.1,9.4,4.6,3.7,5.2,4.6
"Seattle-Tacoma-Bellevue, WA",1.9,4.7,3.6,3.4,4.6,4.1,5.5,5,3.9,3.3,4.6,5.6,3.7,2.1,4.2,4.4,4.8,6,5.8,4.5,5.7,3.4,5.5
"Syracuse, NY",13.6,3.5,5.2,4.1,2.4,3.7,5.3,14.7,17.9,5,11.8,11.8,8.7,7,14.9,14,8.2,7,9.9,12,4.9,6.6,10.5
"Tampa-St Petersburg-Clearwater, FL",10.6,10.6,9.6,7.8,9.9,11.8,9,9,11.8,12,10,8.8,9.7,9.2,9,7.7,8.1,7.9,7,6.3,8.4,6.8,9.7
"Toledo, OH",4.6,8.8,12.6,12.8,6.7,8.1,22.9,13.8,18.1,7.4,4.3,10.6,15.9,4.5,(z),4.4,12.4,0.9,1.1,1.2,5.1,13.6,5.7
"Tucson, AZ",7.9,8.5,6.8,4,3.9,4,6.5,2.9,5,8.1,10,6.8,5.1,10.6,13.8,7.2,3,7.4,8.1,2.1,7.6,5.6,11.1
"Tulsa, OK",9.9,6,8.5,9.3,11,8.2,14.1,7.3,7,8.6,10.3,7.9,9.4,11.2,9.2,5.4,7.4,3.5,5.6,5,6.2,5.1,3.3
"Urban Honolulu, HI",9.4,8.6,7.3,6.9,8.2,7.8,4.4,5.4,5.9,6,6,4.6,6.2,5.5,6,4.4,7.1,5.5,2.5,5.4,5.9,4.3,6.7
"Virginia Beach-Norfolk-Newport News, VA-NC",8.6,8.1,10.1,5.8,5.2,6.2,8.5,8.8,8.5,6.2,6.5,7.3,5.4,3.9,4.7,8.7,7.4,2.8,7,4.6,6.8,8.2,3
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6,6.1,6.7,6.1,7.7,5.5,6.8,4.8,5.9,6.1,5.1,5.2,6.8,3.7,5.4,5.9,5.6,6.2,6.5,5.3,6.8,5.2,4.3
"Worcester, MA",4.1,3.8,3.5,4.3,4.4,1.8,2.8,1.6,4.5,4.7,1.1,0.4,3.4,(z),(z),1,2.4,2.6,0.5,3.3,2.1,2.3,1.8
